Spec_ID,Код продукту,Назва з номенклатури/специфікації,Категорія,Назва в журналі (остання),К-сть партій у журналі,Перша дата в журналі,Остання дата в журналі,Останній № партії,Органолептика норма/критерій,Колір,Запах,pH мін,pH макс,Останній pH факт,Остання в'язкість факт,Од. вим. в'язкості,"Остання густина факт, г/мл",Колоїдна стабільність,Термостабільність,Мікробіологія норма,Мікробіологія факт,Умови зберігання,Термін придатності,Статус специфікації,Джерело,Примітка,pH специфікація (норма),Густина специфікація,В'язкість специфікація,PAO (після відкриття)
SPEC-RP012-v1.0,RP012,Кондиціонер для волосся Macadamia+Omega Complex,Волосся,"Кондиціонер для волосся Macadamia+Omega Complex, RP012",1,2025-02-24,2025-02-24,02/25,відповідає,білий або світло-бежевий,згідно затвердженого зразку,"4,5","5,6",5.6,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,5–6,не нормується,не нормується,12М
SPEC-RP013-v1.0,RP013,Маска для волосся Macadamia+Omega Complex,Волосся,"Маска для волосся Macadamia+Omega Complex, RP013",2,2024-12-19,2025-02-24,02/25,відповідає,білий або світло-бежевий,згідно затвердженого зразку,"4,5","5,6",5.2,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,5–6,не нормується,не нормується,12М
SPEC-RP014-v1.0,RP014,Шампунь Avocado + Collagen,Волосся,"Маска для обличчя ліпідна з керамідами кремова, RP014",9,2024-08-08,2025-11-24,24/11/25(1),відповідає,білий або світло-бежевий,згідно затвердженого зразку,"4,5","5,6",5.5,"Cp=1545pas, 77,2% S4V0,3",,"0,89",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (9 партій),Норми з журналу потрібно затвердити технологом.,"5,0-6,5","0,89-0,99 г/мл","Cp=1000-4000 mpas,  S3V30",12М
SPEC-RP015-v1.0,RP015,Кондиціонер для волосся Avocado + Collagen,Волосся,"Кондиціонер для волосся Avocado + Collagen, RP015",6,2024-09-24,2025-08-26,08/25,відповідає,білий або світло-бежевий,згідно затвердженого зразку,"4,5","5,6",5.4,"Cp=19,82pas, 49,4% S3V3",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (6 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0,9-1,0 г/мл","Cp=200-600 pas, S4V0,6",12М
SPEC-RP016-v1.0,RP016,Маска для волосся Avocado + Collagen,Волосся,"Маска авокадо+колаген, RP016",5,2024-09-24,2025-08-14,08/25,відповідає,білий або світло-бежевий,згідно затвердженого зразку,"4,5","5,6",5.5,"Cp=7652mpas, 38,2% S4V30",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (5 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0,8-0,9г/мл","Cp=5000-9000 mpas, S4V30",12М
SPEC-RP017-v1.0,RP017,Шампунь глибокої очисти Рн 8,Волосся,"Шампунь глибокої очистки, RP017",3,2024-09-10,2025-08-18,08/25,відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,8,"Cp=8906mpas, 44,5% S4V30",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,"7,0-8,5","0,9-1,0 г/мл","Cp=5000-9500 mpas,  S4V30",12М
SPEC-RP018-v1.0,RP018,"Спрей відновлюючий з керамідами, амінокислотами та екстрактами проти випадіння волосся",Волосся,Спрей відновлюючий з керамідами проти випадіння RP018,7,2024-09-20,2026-03-06,06/03/26(4),відповідає,відсутні дані,згідно затвердженого зразку,5,6,5.1,Н/З,,"1,03",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (7 партій),Норми з журналу потрібно затвердити технологом.,"4,5-6,0","0,95-1,05 г/мл",не нормується,12М
SPEC-RP019-v1.0,RP019,Пілінг для шкіри голови,Волосся,"Пілінг для шкіри голови, RP019",16,2024-09-04,2026-03-19,19/03/26(1),відповідає,відсутні дані,згідно затвердженого зразку,3,5,3.5,S3V12Cp=4006mPas40%,,"0,92",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (16 партій),Норми з журналу потрібно затвердити технологом.,"3,5-4,0","0,9-1,0 г/мл",S3V12   Cp=3500-5000mPas,12М
SPEC-RP021-v1.0,RP021,Термозахист з рідким кератином та амінокислотами,Волосся,Термозахист з рідким кератином RP021,14,2024-09-17,2026-03-10,10/03/26(2),відповідає,відсутні дані,згідно затвердженого зразку,"3,5",6,5.1,Н/З,,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (14 партій),Норми з журналу потрібно затвердити технологом.,"4,5-7,0","0,95-1,05 г/мл",не нормується,12М
SPEC-RP022-v1.0,RP022,Крем-термозахист,Волосся,"Крем-термозахист, RP022",12,2024-08-02,2025-10-24,10/25,однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.8,"Cp=4049mpas, 40,6% S4V60",,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (12 партій),Норми з журналу потрібно затвердити технологом.,"4,5-6,0","0,9-1,0 г/мл","Cp=40000-70000 mpas, S4V60",12М
SPEC-RP024-v1.0,RP024,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією",Тіло,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024",32,2024-08-19,2026-03-13,13/03/26(1)    13/03/26(2)    13/03/26(3),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.7,"S4V0,3Cp=1660mPas76% S4V0,3Cp=1534mPas72% S4V0,3Cp=1422mPas68%",,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (32 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0,9-1,0 г/мл","S4V0,3 Cp=800-1700 mPas",12М
SPEC-RP025-v1.0,RP025,"Крем для рук з олією ши, кокосу, оливи та пом'якшувальними компонентами",Тіло,"крем для рук з оліею ши, кокосу,оливи та помякшуючими компонентами RP025",16,2024-11-01,2026-03-13,13/03/26(5),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.4,"S4V6Cp=60,16mPas61,1%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (16 партій),Норми з журналу потрібно затвердити технологом.,"5–6,5","0,89–0,99 г/мл",S4V6 Cp=40-90 mPas,12М
SPEC-RP028-v1.0,RP028,Скраб для тіла цукровий гідрофільний,Тіло,"Скраб для тіла цукровий гідрофільний, RP028",8,2024-11-21,2026-02-24,24/02/26(1),Однорідна зерниста маса,від світло-бежевого до коричневого (залежно від зразка),згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (8 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP032-v1.0,RP032,"Гель для душу, фруктові та парфумерні композиціі",Тіло,"Гель для душу, фруктові та парфумерні композиціі, RP032",25,2024-08-30,2026-03-12,12/03/26(3),відповідає,прозорий,згідно затвердженого зразку,5,6,5.7,"S3V3Cp=18,12mPas45,3%",,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (25 партій),Норми з журналу потрібно затвердити технологом.,5–8.5,0.94–1.03 г/мл,,12М
SPEC-RP034-v1.0,RP034,Гаряче антицелюлітне обгортання,Тіло,"Гаряче антицелюлітне обгортання, RP034",4,2025-02-19,2025-09-16,09/25,відповідає,кремовий білий,згідно затвердженого зразку,5,6,5.2,"Cp=426,2pas, 42,6% S4V0,6",,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (4 партій),Норми з журналу потрібно затвердити технологом.,5–6,не нормується,,12М
SPEC-RP035-v1.0,RP035,Холодне антицелюлітне обгортання,Тіло,"Холодне антицелюлітне обгортання, RP035",1,2025-04-10,2025-04-10,04/25,відповідає,кремовий білий,згідно затвердженого зразку,5,6,5.9,"Cp=754,6, 75,4% S4V0,6",,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,5–6,не нормується,,12М
SPEC-RP036-v1.0,RP036,Антицелюлітная персикова олія,Тіло,"Антицелюлітна персикова олія, RP036",1,2025-02-21,2025-02-21,02/25,відповідає,прозорий,згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP048-v1.0,RP048,Гель для вмивання проблемної шкіри Cleansing Gel Inulin+Hyaluronic,Обличчя,Гель для вмивання RP048,6,2024-10-09,2026-03-10,10/03/26(4),відповідає,прозорий,згідно затвердженого зразку,5,6,5.9,"S3V30Cp=1919mPas47,9%",,"0,92",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (6 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0,9-1,0 г/мл",S3V30 Cp=1000-2000 mPas,12М
SPEC-RP051-v1.0,RP051,Міцелярна вода Micellar Water Rosewood Essential,Обличчя,"Міцелярна вода Micellar Water Rosewood Essential, RP051",5,2024-11-20,2025-10-20,10/25,відповідає,прозорий,згідно затвердженого зразку,5,6,5.9,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (5 партій),Норми з журналу потрібно затвердити технологом.,5–6,не нормується,не нормується,12М
SPEC-RP057-v1.0,RP057,Бальзам для губ,Обличчя,Бальзам для губ RP057,2,2024-09-19,2026-03-19,19/03/26(5),відповідає,від безбарвного до світло-бежевого,згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP061-v1.0,RP061,Бальзам-кондиціонер з пребіотиком,Волосся,"Бальзам-кондиціонер з пребіотиком, RP061",8,2024-08-08,2025-12-10,10/12/25(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.4,"Cp=6143mpas, 30,7% S4V30",,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (8 партій),Норми з журналу потрібно затвердити технологом.,5–6,0.96 г/мл,,12М
SPEC-RP062-v1.0,RP062,Тонік розмариновий для волосся,Волосся,"Тонік розмариновий для волосся, RP062",4,2024-09-04,2026-03-18,18/03/26(4),відповідає,прозорий,згідно затвердженого зразку,5,6,5.1,"Cp=203,6pas, 40,6% S2V60",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (4 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0.95 г/мл ± 0,05",,12М
SPEC-RP065-v1.0,RP065,Крем для рук 145-1-3,Тіло,Крем для рук 145-1-3 RP065,10,2024-09-16,2026-03-02,02/03/26(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.2,"S4V3Cp=4139,4mPas69,7%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (10 партій),Норми з журналу потрібно затвердити технологом.,5–8.5,"0.96 г/мл ± 0,05",,12М
SPEC-RP070-v1.0,RP070,Скраб сольовий з мигдалем Crumb,Тіло,Скраб сольовий з мегдалем RP070,7,2025-12-05,2026-03-20,20/03/26(1),Однорідна зерниста маса,від світло-бежевого до коричневого (залежно від зразка),згідно затвердженого зразку,,,,Не нормується — сипкий/пастоподібний продукт,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (7 партій),Зі специфікації; журнал у цьому файлі не підтвердив жодного рядка по RP070.,не нормується,не нормується,не нормується,12М
SPEC-RP098-v1.0,RP098,Пілінг тонер AHA+BHA 10%,Обличчя,"Пілінг тонер AHA+BHA 10%, RP098",7,2024-09-06,2025-11-05,05/11/2025(4),відповідає,"прозорий, допускається мутність",згідно затвердженого зразку,3,5,4,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (7 партій),Норми з журналу потрібно затвердити технологом.,3–5,не нормується,не нормується,12М
SPEC-RP102-v1.0,RP102,Масажна олія 2,Обличчя,"Масажна олія 2, RP102",1,2024-09-23,2024-09-23,25/09/2024,відповідає,прозорий,згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP106-v1.0,RP106,Дезодорант кульковий,Тіло,"Дезодорант кульковий, RP106",3,2024-08-01,2025-03-12,03/25,відповідає,відсутні дані,згідно затвердженого зразку,"3,5",6,4.3,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,3.5–8.5,не нормується,не нормується,12М
SPEC-RP111-v1.0,RP111,Ліпідна маска для волосся,Волосся,"Ліпідна маска для волосся, RP111",7,2025-05-16,2025-12-22,22/12/25(2),однорідна маса без сторонніх домішок,від світло-жовтого до жовтого кольору,згідно затвердженого зразку,"4,5","5,5",4.8,"Cp=47,08pas, 47% S4V6",,"0,87",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (7 партій),Норми з журналу потрібно затвердити технологом.,"4,0-5,0","0,86-0,96 г/мл",S4V6 Cp=30-60 mPas,12М
SPEC-RP113-v1.0,RP113,Бальзам для губ регенеруючий №4,Обличчя,"Бальзам для губ регенеруючий №4, RP113",1,2024-09-26,2024-09-26,26/09/2024,відповідає,від безбарвного до світло-бежевого,згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP117-v1.0,RP117,Натуральне гель-мило,Тіло,натуральний гель-мило RP117,4,2024-09-12,2026-02-11,11/02/26(2),відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,"3,5",6,5.2,"S3V60Cp=1116mPas55,7%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (4 партій),Норми з журналу потрібно затвердити технологом.,3.5–8.5,"0.95 г/мл ± 0,05",,12М
SPEC-RP121-v1.0,RP121,"Крем для рук з пантенолом, центелою та пребіотиком 294-1",Тіло,"Крем для рук з пантенолом, центелою та пребіотиком 294-1, RP121",9,2025-02-05,2026-03-12,12/03/26(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5,"S4V1,5Cp=380,5mPas95%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (9 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0.94 г/мл ± 0,05",,12М
SPEC-RP126-v1.0,RP126,Крем для обличчя з spf 15,Обличчя,Крем для обличчя SPF15 RP126,2,2025-03-25,2026-03-06,06/03/26(2),однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,5,6,5.8,"S4V0,6Cp=424,1mPas42,4%",,"0,98",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,5–6,0.98 г/мл,,12М
SPEC-RP005-v1.0,RP005,Шампунь Argan Oil + Keratin,Волосся,,0,,,,однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP020-v1.0,RP020,Арганова олія для кінчиків волосся,Волосся,арганова олія для кінчиків волосся RP020,2,2025-11-26,2026-02-19,19/02/26(1),однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,0.89–0.96 г/мл,не нормується,12М
SPEC-RP023-v1.0,RP023,"Баттер для тіла з оліями ши, кокосу, мигдалю та персика",Тіло,"Баттер для тіла з оліями ши, кокосу, мигдалю та персика, RP023",1,2025-12-08,2025-12-08,08/12/25(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.9,"Cp=126,3pas, 31,5% S4V1,5",,"0,91",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,0.91 г/мл,,12М
SPEC-RP026-v1.0,RP026,"Шиммер Body Shimmer Gold, Bronze, Pearl, Pink",Тіло,,0,,,,відповідає,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
